06-12-2026 19:39:47 RAM 1745/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,18%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.531C soc2@49.25C soc0@49.156C gpu@50.812C tj@52.531C soc1@49.625C VDD_IN 9603mW/9280mW VDD_CPU_GPU_CV 4707mW/4406mW VDD_SOC 1692mW/1694mW
06-12-2026 19:39:47 RAM 1744/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [90%@1728,100%@1728,100%@1728,100%@1728,25%@1728,27%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.656C soc2@49.281C soc0@49.093C gpu@50.875C tj@52.656C soc1@49.718C VDD_IN 9603mW/9293mW VDD_CPU_GPU_CV 4393mW/4406mW VDD_SOC 1692mW/1694mW
06-12-2026 19:39:47 RAM 1744/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,10%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.562C soc2@49.25C soc0@49.125C gpu@50.906C tj@52.562C soc1@49.718C VDD_IN 9958mW/9318mW VDD_CPU_GPU_CV 5100mW/4432mW VDD_SOC 1731mW/1696mW
06-12-2026 19:39:47 RAM 1744/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,25%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.468C soc2@49.312C soc0@49.156C gpu@51.187C tj@52.468C soc1@49.75C VDD_IN 9580mW/9328mW VDD_CPU_GPU_CV 4668mW/4441mW VDD_SOC 1731mW/1697mW
06-12-2026 19:39:47 RAM 1744/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,11%@1728,25%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.593C soc2@49.25C soc0@49.25C gpu@50.906C tj@52.593C soc1@49.718C VDD_IN 9761mW/9343mW VDD_CPU_GPU_CV 4747mW/4452mW VDD_SOC 1692mW/1697mW
06-12-2026 19:39:47 RAM 1745/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,25%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.531C soc2@49.406C soc0@49.25C gpu@50.968C tj@52.718C soc1@49.718C VDD_IN 10036mW/9367mW VDD_CPU_GPU_CV 5091mW/4474mW VDD_SOC 1731mW/1698mW
06-12-2026 19:39:47 RAM 1656/7607MB (lfb 66x4MB) SWAP 0/3804MB (cached 0MB) CPU [90%@1728,100%@1728,90%@1728,100%@1728,10%@1728,27%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.718C soc2@49.187C soc0@49.187C gpu@51.125C tj@51.718C soc1@49.843C VDD_IN 6712mW/9279mW VDD_CPU_GPU_CV 1931mW/4389mW VDD_SOC 1579mW/1694mW
06-12-2026 19:39:47 RAM 1740/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [63%@1728,100%@1728,83%@1728,100%@1728,18%@1728,10%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.312C soc2@49.218C soc0@49.156C gpu@50.843C tj@52.312C soc1@49.718C VDD_IN 9580mW/9288mW VDD_CPU_GPU_CV 4590mW/4396mW VDD_SOC 1692mW/1694mW
06-12-2026 19:39:48 RAM 1740/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,20%@1728,18%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@49.343C soc0@49.25C gpu@50.906C tj@52.437C soc1@49.937C VDD_IN 9761mW/9303mW VDD_CPU_GPU_CV 4747mW/4407mW VDD_SOC 1692mW/1694mW
06-12-2026 19:39:48 RAM 1740/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,63%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.531C soc2@49.312C soc0@49.312C gpu@51.062C tj@52.531C soc1@49.812C VDD_IN 10194mW/9330mW VDD_CPU_GPU_CV 5091mW/4427mW VDD_SOC 1771mW/1696mW
