06-12-2026 19:06:15 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,25%@1574,45%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.656C soc2@49.812C soc0@50C gpu@51.562C tj@52.656C soc1@50.593C VDD_IN 9643mW/8209mW VDD_CPU_GPU_CV 4511mW/3402mW VDD_SOC 1810mW/1682mW
06-12-2026 19:06:15 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,36%@1574,36%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.875C soc2@50.031C soc0@50C gpu@51.562C tj@52.875C soc1@50.687C VDD_IN 9146mW/8245mW VDD_CPU_GPU_CV 4165mW/3431mW VDD_SOC 1731mW/1684mW
06-12-2026 19:06:15 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,11%@1574,36%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.718C soc2@49.812C soc0@50.093C gpu@51.562C tj@52.718C soc1@50.687C VDD_IN 8830mW/8266mW VDD_CPU_GPU_CV 3968mW/3451mW VDD_SOC 1695mW/1685mW
06-12-2026 19:06:15 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,45%@729,46%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.187C soc2@50C soc0@50.031C gpu@51.562C tj@52.187C soc1@50.562C VDD_IN 6633mW/8208mW VDD_CPU_GPU_CV 1971mW/3398mW VDD_SOC 1579mW/1681mW
06-12-2026 19:06:15 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,36%@729,40%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.375C soc2@49.906C soc0@50.031C gpu@51.718C tj@52.375C soc1@50.593C VDD_IN 6684mW/8156mW VDD_CPU_GPU_CV 2089mW/3353mW VDD_SOC 1658mW/1680mW
06-12-2026 19:06:15 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,41%@729,36%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.781C soc2@50.031C soc0@50.031C gpu@51.843C tj@52.781C soc1@50.625C VDD_IN 8003mW/8150mW VDD_CPU_GPU_CV 2637mW/3329mW VDD_SOC 1616mW/1678mW
06-12-2026 19:06:15 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,30%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.812C soc2@49.906C soc0@49.906C gpu@51.656C tj@52.812C soc1@50.656C VDD_IN 9028mW/8179mW VDD_CPU_GPU_CV 4008mW/3351mW VDD_SOC 1731mW/1680mW
06-12-2026 19:06:16 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,33%@1574,33%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.093C soc2@49.968C soc0@49.968C gpu@51.906C tj@53.093C soc1@50.625C VDD_IN 9106mW/8208mW VDD_CPU_GPU_CV 4080mW/3374mW VDD_SOC 1771mW/1682mW
06-12-2026 19:06:16 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,100%@1574,60%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.875C soc2@49.937C soc0@50C gpu@51.562C tj@52.875C soc1@50.593C VDD_IN 9185mW/8237mW VDD_CPU_GPU_CV 4008mW/3393mW VDD_SOC 1734mW/1684mW
06-12-2026 19:06:16 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,40%@1574,33%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@49.968C soc0@49.968C gpu@51.937C tj@52.906C soc1@50.781C VDD_IN 9067mW/8262mW VDD_CPU_GPU_CV 4047mW/3412mW VDD_SOC 1734mW/1685mW
