06-12-2026 19:04:54 RAM 1734/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@960,41%@960] EMC_FREQ 9%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.187C soc0@50.156C gpu@51.937C tj@53.593C soc1@50.75C VDD_IN 9958mW/9302mW VDD_CPU_GPU_CV 4896mW/4373mW VDD_SOC 1731mW/1708mW
06-12-2026 19:04:55 RAM 1734/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1497,50%@1497] EMC_FREQ 9%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.25C soc0@50.093C gpu@52.125C tj@53.593C soc1@50.812C VDD_IN 9603mW/9314mW VDD_CPU_GPU_CV 4668mW/4385mW VDD_SOC 1731mW/1709mW
06-12-2026 19:04:55 RAM 1734/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1267,40%@1267] EMC_FREQ 9%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.281C soc0@50.062C gpu@51.843C tj@53.593C soc1@50.781C VDD_IN 9840mW/9335mW VDD_CPU_GPU_CV 4982mW/4409mW VDD_SOC 1731mW/1710mW
06-12-2026 19:04:55 RAM 1734/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@883,33%@883] EMC_FREQ 9%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.75C soc2@50.312C soc0@50.062C gpu@52.125C tj@53.75C soc1@50.812C VDD_IN 9643mW/9347mW VDD_CPU_GPU_CV 4668mW/4419mW VDD_SOC 1692mW/1709mW
06-12-2026 19:04:55 RAM 1734/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,58%@1113,41%@1113] EMC_FREQ 9%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.812C soc2@50.343C soc0@50.125C gpu@52.031C tj@53.812C soc1@50.906C VDD_IN 9721mW/9361mW VDD_CPU_GPU_CV 4786mW/4433mW VDD_SOC 1731mW/1710mW
06-12-2026 19:04:55 RAM 1734/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1113,64%@1113] EMC_FREQ 9%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.406C soc0@50.062C gpu@52.218C tj@53.593C soc1@50.781C VDD_IN 9343mW/9360mW VDD_CPU_GPU_CV 4825mW/4447mW VDD_SOC 1771mW/1712mW
06-12-2026 19:04:55 RAM 1734/7607MB (lfb 67x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,92%@1728,100%@1728,100%@1728,33%@1113,45%@1113] EMC_FREQ 9%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.187C soc2@50.281C soc0@50.125C gpu@51.937C tj@53.187C soc1@50.75C VDD_IN 7858mW/9308mW VDD_CPU_GPU_CV 3266mW/4406mW VDD_SOC 1616mW/1709mW
06-12-2026 19:04:55 RAM 1862/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,30%@1728,100%@1728,0%@1728,33%@729,46%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.5C soc2@50.156C soc0@50.187C gpu@52.093C tj@52.5C soc1@50.718C VDD_IN 7779mW/9257mW VDD_CPU_GPU_CV 2282mW/4335mW VDD_SOC 1971mW/1718mW
06-12-2026 19:04:55 RAM 1863/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@729,36%@729] EMC_FREQ 9%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.406C soc2@50.25C soc0@50.125C gpu@51.843C tj@53.406C soc1@50.937C VDD_IN 9721mW/9272mW VDD_CPU_GPU_CV 4825mW/4351mW VDD_SOC 1731mW/1718mW
06-12-2026 19:04:55 RAM 1863/7607MB (lfb 51x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,58%@960,60%@1036] EMC_FREQ 9%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.562C soc2@50.281C soc0@50.187C gpu@51.937C tj@53.562C soc1@50.906C VDD_IN 10272mW/9304mW VDD_CPU_GPU_CV 5170mW/4377mW VDD_SOC 1810mW/1721mW
