06-12-2026 19:44:26 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1036,64%@1036] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.187C soc2@50.781C soc0@50.531C gpu@52.25C tj@54.187C soc1@51.406C VDD_IN 9761mW/9357mW VDD_CPU_GPU_CV 4747mW/4464mW VDD_SOC 1731mW/1701mW
06-12-2026 19:44:26 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@806,50%@806] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.281C soc2@50.718C soc0@50.687C gpu@52.406C tj@54.281C soc1@51.25C VDD_IN 9564mW/9366mW VDD_CPU_GPU_CV 4707mW/4474mW VDD_SOC 1731mW/1702mW
06-12-2026 19:44:26 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1190,50%@1190] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.25C soc2@50.906C soc0@50.656C gpu@52.468C tj@54.25C soc1@51.281C VDD_IN 9761mW/9381mW VDD_CPU_GPU_CV 4864mW/4489mW VDD_SOC 1731mW/1704mW
06-12-2026 19:44:26 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,58%@729,44%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.25C soc2@50.812C soc0@50.5C gpu@52.718C tj@54.25C soc1@51.562C VDD_IN 9761mW/9396mW VDD_CPU_GPU_CV 4864mW/4504mW VDD_SOC 1731mW/1705mW
06-12-2026 19:44:26 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1190,53%@1190] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.25C soc2@50.875C soc0@50.5C gpu@52.625C tj@54.25C soc1@51.406C VDD_IN 9761mW/9410mW VDD_CPU_GPU_CV 4668mW/4510mW VDD_SOC 1731mW/1706mW
06-12-2026 19:44:26 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1651,54%@1651] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@50.75C soc0@50.75C gpu@52.406C tj@54.343C soc1@51.312C VDD_IN 9603mW/9417mW VDD_CPU_GPU_CV 4825mW/4521mW VDD_SOC 1731mW/1706mW
06-12-2026 19:44:26 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,54%@729,53%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.843C soc2@50.843C soc0@50.562C gpu@52.625C tj@53.843C soc1@51.312C VDD_IN 8292mW/9378mW VDD_CPU_GPU_CV 3699mW/4493mW VDD_SOC 1616mW/1703mW
06-12-2026 19:44:26 RAM 1737/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,18%@1728,41%@806,50%@806] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.562C soc2@50.875C soc0@50.656C gpu@52.531C tj@53.562C soc1@51.406C VDD_IN 8121mW/9336mW VDD_CPU_GPU_CV 3575mW/4462mW VDD_SOC 1616mW/1700mW
06-12-2026 19:44:27 RAM 1736/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,8%@1728,40%@806,61%@806] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.687C soc2@50.718C soc0@50.718C gpu@52.625C tj@53.687C soc1@51.437C VDD_IN 8095mW/9296mW VDD_CPU_GPU_CV 3463mW/4430mW VDD_SOC 1616mW/1698mW
06-12-2026 19:44:27 RAM 1719/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,9%@1728,50%@806,36%@806] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.968C soc2@50.656C soc0@50.625C gpu@52.312C tj@52.968C soc1@51.406C VDD_IN 6961mW/9223mW VDD_CPU_GPU_CV 2286mW/4363mW VDD_SOC 1619mW/1695mW
