06-12-2026 22:01:36 RAM 1815/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,54%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.281C soc2@50.093C soc0@50.187C gpu@51.875C tj@53.281C soc1@50.875C VDD_IN 8870mW/8280mW VDD_CPU_GPU_CV 4204mW/3377mW VDD_SOC 1734mW/1653mW
06-12-2026 22:01:36 RAM 1815/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,55%@1574,66%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.187C soc2@50.187C soc0@50.281C gpu@51.875C tj@53.187C soc1@50.687C VDD_IN 8213mW/8277mW VDD_CPU_GPU_CV 3424mW/3379mW VDD_SOC 1655mW/1653mW
06-12-2026 22:01:36 RAM 1816/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,60%@1574,54%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.125C soc2@50.156C soc0@50.187C gpu@51.781C tj@53.125C soc1@50.812C VDD_IN 8580mW/8289mW VDD_CPU_GPU_CV 4550mW/3426mW VDD_SOC 1695mW/1655mW
06-12-2026 22:01:36 RAM 1815/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,54%@1574,50%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.25C soc2@50.187C soc0@50.156C gpu@51.968C tj@53.25C soc1@50.906C VDD_IN 9185mW/8323mW VDD_CPU_GPU_CV 4276mW/3459mW VDD_SOC 1692mW/1656mW
06-12-2026 22:01:36 RAM 1816/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,60%@1574,58%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.25C soc2@50.125C soc0@50.218C gpu@52.031C tj@53.25C soc1@50.812C VDD_IN 8791mW/8341mW VDD_CPU_GPU_CV 4276mW/3489mW VDD_SOC 1731mW/1659mW
06-12-2026 22:01:36 RAM 1815/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,54%@1574,45%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.093C soc2@50.187C soc0@50.281C gpu@51.812C tj@53.093C soc1@51.031C VDD_IN 8108mW/8332mW VDD_CPU_GPU_CV 4479mW/3524mW VDD_SOC 1655mW/1659mW
06-12-2026 22:01:36 RAM 1815/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,50%@1574,50%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.375C soc2@50.156C soc0@50.218C gpu@52.125C tj@53.375C soc1@50.968C VDD_IN 8673mW/8344mW VDD_CPU_GPU_CV 3968mW/3540mW VDD_SOC 1734mW/1661mW
06-12-2026 22:01:36 RAM 1816/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,58%@1574,55%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.187C soc2@50.187C soc0@50.375C gpu@51.843C tj@53.468C soc1@50.843C VDD_IN 9052mW/8368mW VDD_CPU_GPU_CV 4550mW/3573mW VDD_SOC 1771mW/1665mW
06-12-2026 22:01:36 RAM 1816/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,54%@1574,40%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.312C soc2@50.281C soc0@50.281C gpu@51.906C tj@53.312C soc1@50.812C VDD_IN 8791mW/8381mW VDD_CPU_GPU_CV 3844mW/3582mW VDD_SOC 1695mW/1666mW
06-12-2026 22:01:37 RAM 1816/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,55%@1574,50%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.218C soc2@50.25C soc0@50.25C gpu@51.937C tj@53.218C soc1@50.968C VDD_IN 8830mW/8395mW VDD_CPU_GPU_CV 4472mW/3610mW VDD_SOC 1731mW/1668mW
