06-12-2026 22:00:16 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1574,33%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.156C soc2@51.031C soc0@50.75C gpu@52.843C tj@54.156C soc1@51.437C VDD_IN 9800mW/9373mW VDD_CPU_GPU_CV 5021mW/4459mW VDD_SOC 1731mW/1680mW
06-12-2026 22:00:16 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1728,30%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.5C soc2@51C soc0@50.718C gpu@52.781C tj@54.5C soc1@51.562C VDD_IN 10272mW/9411mW VDD_CPU_GPU_CV 5060mW/4484mW VDD_SOC 1689mW/1681mW
06-12-2026 22:00:16 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1190,45%@1190] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.406C soc2@50.906C soc0@50.906C gpu@52.468C tj@54.406C soc1@51.593C VDD_IN 9918mW/9431mW VDD_CPU_GPU_CV 4974mW/4504mW VDD_SOC 1729mW/1683mW
06-12-2026 22:00:16 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@960,50%@960] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@50.968C soc0@50.875C gpu@52.718C tj@54.343C soc1@51.437C VDD_IN 9564mW/9436mW VDD_CPU_GPU_CV 4707mW/4511mW VDD_SOC 1692mW/1683mW
06-12-2026 22:00:16 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1574,50%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@51C soc0@50.812C gpu@52.687C tj@54.406C soc1@51.562C VDD_IN 10627mW/9480mW VDD_CPU_GPU_CV 5170mW/4536mW VDD_SOC 1689mW/1683mW
06-12-2026 22:00:17 RAM 1798/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1190,40%@1190] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@50.937C soc0@50.843C gpu@52.843C tj@54.343C soc1@51.625C VDD_IN 9525mW/9482mW VDD_CPU_GPU_CV 5091mW/4556mW VDD_SOC 1729mW/1685mW
06-12-2026 22:00:17 RAM 1798/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1267,50%@1267] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.125C soc2@50.937C soc0@50.968C gpu@52.687C tj@54.125C soc1@51.656C VDD_IN 7976mW/9430mW VDD_CPU_GPU_CV 3581mW/4522mW VDD_SOC 1616mW/1683mW
06-12-2026 22:00:17 RAM 1798/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,54%@1728,54%@1728,100%@1728,50%@729,12%@729] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.562C soc2@50.937C soc0@50.812C gpu@52.937C tj@53.562C soc1@51.562C VDD_IN 7910mW/9379mW VDD_CPU_GPU_CV 2676mW/4461mW VDD_SOC 1579mW/1679mW
06-12-2026 22:00:17 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,33%@1728,18%@1728,100%@1728,30%@729,20%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.218C soc2@50.812C soc0@50.875C gpu@52.531C tj@53.218C soc1@51.718C VDD_IN 7147mW/9307mW VDD_CPU_GPU_CV 2286mW/4390mW VDD_SOC 1619mW/1677mW
06-12-2026 22:00:17 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@960,53%@960] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.156C soc2@50.906C soc0@50.843C gpu@52.656C tj@54.156C soc1@51.718C VDD_IN 9564mW/9315mW VDD_CPU_GPU_CV 4629mW/4398mW VDD_SOC 1689mW/1678mW
06-12-2026 22:00:17 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1344,40%@1344] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.156C soc2@50.906C soc0@50.843C gpu@52.5C tj@54.156C soc1@51.687C VDD_IN 9761mW/9329mW VDD_CPU_GPU_CV 4629mW/4405mW VDD_SOC 1692mW/1678mW
06-12-2026 22:00:17 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1113,45%@1113] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.375C soc2@50.937C soc0@50.937C gpu@52.656C tj@54.375C soc1@51.593C VDD_IN 9564mW/9336mW VDD_CPU_GPU_CV 4621mW/4411mW VDD_SOC 1731mW/1680mW
06-12-2026 22:00:17 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1651,30%@1651] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@50.968C soc0@50.812C gpu@52.75C tj@54.343C soc1@51.593C VDD_IN 9997mW/9354mW VDD_CPU_GPU_CV 5100mW/4431mW VDD_SOC 1731mW/1681mW
06-12-2026 22:00:17 RAM 1801/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@960,50%@960] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@51C soc0@50.812C gpu@52.687C tj@54.343C soc1@51.656C VDD_IN 9525mW/9359mW VDD_CPU_GPU_CV 4943mW/4445mW VDD_SOC 1692mW/1681mW
06-12-2026 22:00:18 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1267,40%@1267] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.593C soc2@50.937C soc0@50.906C gpu@52.656C tj@54.593C soc1@51.656C VDD_IN 10138mW/9380mW VDD_CPU_GPU_CV 5326mW/4469mW VDD_SOC 1729mW/1683mW
06-12-2026 22:00:18 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1574,57%@1574] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@51.093C soc0@50.812C gpu@52.625C tj@54.343C soc1@51.562C VDD_IN 10036mW/9398mW VDD_CPU_GPU_CV 5013mW/4483mW VDD_SOC 1729mW/1684mW
06-12-2026 22:00:18 RAM 1800/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1651,50%@1651] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.562C soc2@51.093C soc0@50.968C gpu@52.843C tj@54.562C soc1@51.656C VDD_IN 10076mW/9415mW VDD_CPU_GPU_CV 5100mW/4499mW VDD_SOC 1692mW/1684mW
