06-12-2026 21:57:42 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,27%@1728,100%@1728,100%@1728,30%@1728,45%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.875C soc2@50.875C soc0@50.687C gpu@52.562C tj@53.875C soc1@51.5C VDD_IN 8555mW/9365mW VDD_CPU_GPU_CV 3936mW/4545mW VDD_SOC 1616mW/1683mW
06-12-2026 21:57:42 RAM 1777/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,20%@1728,100%@1728,100%@1728,36%@1728,36%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.968C soc2@50.625C soc0@50.75C gpu@52.468C tj@52.968C soc1@51.562C VDD_IN 7107mW/9292mW VDD_CPU_GPU_CV 2991mW/4495mW VDD_SOC 1658mW/1682mW
06-12-2026 21:57:42 RAM 1794/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [91%@1728,91%@1728,91%@1728,100%@1728,66%@1728,61%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.187C soc2@50.687C soc0@50.656C gpu@52.531C tj@54.187C soc1@51.468C VDD_IN 10430mW/9328mW VDD_CPU_GPU_CV 5021mW/4511mW VDD_SOC 1807mW/1686mW
06-12-2026 21:57:42 RAM 1795/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,46%@1728,22%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.25C soc2@50.812C soc0@50.718C gpu@52.593C tj@54.25C soc1@51.437C VDD_IN 10272mW/9356mW VDD_CPU_GPU_CV 4896mW/4523mW VDD_SOC 1689mW/1686mW
06-12-2026 21:57:42 RAM 1795/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1728,33%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.156C soc2@50.906C soc0@50.656C gpu@52.906C tj@54.156C soc1@51.625C VDD_IN 9446mW/9359mW VDD_CPU_GPU_CV 4668mW/4527mW VDD_SOC 1729mW/1688mW
06-12-2026 21:57:42 RAM 1795/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1728,41%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.312C soc2@50.906C soc0@50.937C gpu@52.5C tj@54.312C soc1@51.437C VDD_IN 10233mW/9384mW VDD_CPU_GPU_CV 5170mW/4545mW VDD_SOC 1729mW/1689mW
06-12-2026 21:57:42 RAM 1795/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1728,50%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.312C soc2@50.968C soc0@50.812C gpu@52.468C tj@54.281C soc1@51.5C VDD_IN 10272mW/9409mW VDD_CPU_GPU_CV 5335mW/4567mW VDD_SOC 1692mW/1689mW
06-12-2026 21:57:42 RAM 1795/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,46%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.281C soc2@50.937C soc0@50.687C gpu@52.531C tj@54.281C soc1@51.5C VDD_IN 9879mW/9421mW VDD_CPU_GPU_CV 4668mW/4570mW VDD_SOC 1729mW/1690mW
06-12-2026 21:57:43 RAM 1795/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,63%@1728,45%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.406C soc2@50.968C soc0@50.718C gpu@52.625C tj@54.406C soc1@51.5C VDD_IN 9824mW/9432mW VDD_CPU_GPU_CV 5483mW/4594mW VDD_SOC 1810mW/1693mW
06-12-2026 21:57:43 RAM 1795/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1728,54%@1728] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.406C soc2@51C soc0@50.781C gpu@52.531C tj@54.406C soc1@51.406C VDD_IN 10154mW/9451mW VDD_CPU_GPU_CV 4707mW/4597mW VDD_SOC 1810mW/1696mW
